period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2017,NH,New Hampshire,Wind,COM,commercial,.15,11,megawatts,number of customers
2017,NH,New Hampshire,Wind,IND,industrial,,,megawatts,number of customers
2017,NH,New Hampshire,Wind,RES,residential,.285,67,megawatts,number of customers
2017,NH,New Hampshire,Wind,TOT,all sectors,.435,78,megawatts,number of customers
2017,NH,New Hampshire,Wind,TRN,transportation,,,megawatts,number of customers
2017,NJ,New Jersey,All Technologies,COM,commercial,779.766,5247,megawatts,number of customers
2017,NJ,New Jersey,All Technologies,IND,industrial,80.645,149,megawatts,number of customers
2017,NJ,New Jersey,All Technologies,RES,residential,588.574,81973,megawatts,number of customers
2017,NJ,New Jersey,All Technologies,TOT,all sectors,1448.985,87369,megawatts,number of customers
2017,NJ,New Jersey,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NJ,New Jersey,Other Technologies,COM,commercial,.32,2,megawatts,number of customers
2017,NJ,New Jersey,Other Technologies,IND,industrial,0,0,megawatts,number of customers
2017,NJ,New Jersey,Other Technologies,RES,residential,0,0,megawatts,number of customers
2017,NJ,New Jersey,Other Technologies,TOT,all sectors,.32,2,megawatts,number of customers
2017,NJ,New Jersey,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NJ,New Jersey,Photovoltaic,COM,commercial,777.832,5235,megawatts,number of customers
2017,NJ,New Jersey,Photovoltaic,IND,industrial,80.642,148,megawatts,number of customers
2017,NJ,New Jersey,Photovoltaic,RES,residential,588.107,81939,megawatts,number of customers
2017,NJ,New Jersey,Photovoltaic,TOT,all sectors,1446.581,87322,megawatts,number of customers
2017,NJ,New Jersey,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,NJ,New Jersey,Wind,COM,commercial,1.614,10,megawatts,number of customers
2017,NJ,New Jersey,Wind,IND,industrial,.003,1,megawatts,number of customers
2017,NJ,New Jersey,Wind,RES,residential,.467,34,megawatts,number of customers
2017,NJ,New Jersey,Wind,TOT,all sectors,2.084,45,megawatts,number of customers
2017,NJ,New Jersey,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,NM,New Mexico,All Technologies,COM,commercial,46.764,891,megawatts,number of customers
2017,NM,New Mexico,All Technologies,IND,industrial,.451,3,megawatts,number of customers
2017,NM,New Mexico,All Technologies,RES,residential,76.164,16495,megawatts,number of customers
2017,NM,New Mexico,All Technologies,TOT,all sectors,123.379,17389,megawatts,number of customers
2017,NM,New Mexico,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NM,New Mexico,Other Technologies,COM,commercial,0,0,megawatts,number of customers
2017,NM,New Mexico,Other Technologies,IND,industrial,0,0,megawatts,number of customers
2017,NM,New Mexico,Other Technologies,RES,residential,0,0,megawatts,number of customers
2017,NM,New Mexico,Other Technologies,TOT,all sectors,0,0,megawatts,number of customers
2017,NM,New Mexico,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NM,New Mexico,Photovoltaic,COM,commercial,46.573,881,megawatts,number of customers
2017,NM,New Mexico,Photovoltaic,IND,industrial,.451,3,megawatts,number of customers
2017,NM,New Mexico,Photovoltaic,RES,residential,75.966,16426,megawatts,number of customers
2017,NM,New Mexico,Photovoltaic,TOT,all sectors,122.99,17310,megawatts,number of customers
2017,NM,New Mexico,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,NM,New Mexico,Wind,COM,commercial,.191,10,megawatts,number of customers
2017,NM,New Mexico,Wind,IND,industrial,0,0,megawatts,number of customers
2017,NM,New Mexico,Wind,RES,residential,.098,30,megawatts,number of customers
2017,NM,New Mexico,Wind,TOT,all sectors,.289,40,megawatts,number of customers
2017,NM,New Mexico,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,NV,Nevada,All Technologies,COM,commercial,59.245,871,megawatts,number of customers
2017,NV,Nevada,All Technologies,IND,industrial,13.104,85,megawatts,number of customers
2017,NV,Nevada,All Technologies,RES,residential,163.272,26119,megawatts,number of customers
2017,NV,Nevada,All Technologies,TOT,all sectors,235.621,27075,megawatts,number of customers
2017,NV,Nevada,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NV,Nevada,Other Technologies,COM,commercial,.128,14,megawatts,number of customers
2017,NV,Nevada,Other Technologies,IND,industrial,.05,1,megawatts,number of customers
2017,NV,Nevada,Other Technologies,RES,residential,.1,9,megawatts,number of customers
2017,NV,Nevada,Other Technologies,TOT,all sectors,.278,24,megawatts,number of customers
2017,NV,Nevada,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NV,Nevada,Photovoltaic,COM,commercial,51.493,773,megawatts,number of customers
2017,NV,Nevada,Photovoltaic,IND,industrial,12.955,82,megawatts,number of customers
2017,NV,Nevada,Photovoltaic,RES,residential,162.854,26056,megawatts,number of customers
2017,NV,Nevada,Photovoltaic,TOT,all sectors,227.302,26911,megawatts,number of customers
2017,NV,Nevada,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,NV,Nevada,Wind,COM,commercial,7.624,84,megawatts,number of customers
2017,NV,Nevada,Wind,IND,industrial,.099,2,megawatts,number of customers
2017,NV,Nevada,Wind,RES,residential,.318,54,megawatts,number of customers
2017,NV,Nevada,Wind,TOT,all sectors,8.041,140,megawatts,number of customers
2017,NV,Nevada,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,NY,New York,All Technologies,COM,commercial,444.081,6201,megawatts,number of customers
2017,NY,New York,All Technologies,IND,industrial,12.253,32,megawatts,number of customers
2017,NY,New York,All Technologies,RES,residential,625.207,91021,megawatts,number of customers
2017,NY,New York,All Technologies,TOT,all sectors,1081.541,97254,megawatts,number of customers
2017,NY,New York,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NY,New York,Other Technologies,COM,commercial,31.213,94,megawatts,number of customers
2017,NY,New York,Other Technologies,IND,industrial,.48,1,megawatts,number of customers
2017,NY,New York,Other Technologies,RES,residential,1.638,103,megawatts,number of customers
2017,NY,New York,Other Technologies,TOT,all sectors,33.331,198,megawatts,number of customers
2017,NY,New York,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NY,New York,Photovoltaic,COM,commercial,358.715,5594,megawatts,number of customers
2017,NY,New York,Photovoltaic,IND,industrial,11.623,29,megawatts,number of customers
2017,NY,New York,Photovoltaic,RES,residential,619.779,90567,megawatts,number of customers
2017,NY,New York,Photovoltaic,TOT,all sectors,990.117,96190,megawatts,number of customers
2017,NY,New York,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,NY,New York,Wind,COM,commercial,5.11,113,megawatts,number of customers
2017,NY,New York,Wind,IND,industrial,.15,2,megawatts,number of customers
2017,NY,New York,Wind,RES,residential,3.176,290,megawatts,number of customers
2017,NY,New York,Wind,TOT,all sectors,8.436,405,megawatts,number of customers
2017,NY,New York,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,OH,Ohio,All Technologies,COM,commercial,98.471,939,megawatts,number of customers
2017,OH,Ohio,All Technologies,IND,industrial,29.257,51,megawatts,number of customers
2017,OH,Ohio,All Technologies,RES,residential,24.394,3610,megawatts,number of customers
2017,OH,Ohio,All Technologies,TOT,all sectors,152.121,4600,megawatts,number of customers
2017,OH,Ohio,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,OH,Ohio,Other Technologies,COM,commercial,10.324,29,megawatts,number of customers
2017,OH,Ohio,Other Technologies,IND,industrial,4.417,4,megawatts,number of customers
2017,OH,Ohio,Other Technologies,RES,residential,.007,1,megawatts,number of customers
2017,OH,Ohio,Other Technologies,TOT,all sectors,14.748,34,megawatts,number of customers
2017,OH,Ohio,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,OH,Ohio,Photovoltaic,COM,commercial,77.839,803,megawatts,number of customers
2017,OH,Ohio,Photovoltaic,IND,industrial,4.332,37,megawatts,number of customers
2017,OH,Ohio,Photovoltaic,RES,residential,22.478,3304,megawatts,number of customers
